city,province,region_std,city_job_count,GDI_c,Exposure_c,SRI_c,entropy_c,GDI_group,Exposure_group,SRI_group,city_type
江门,广东,东部,5036,0.0025814138,8.4431323177,-0.5788186280,3.9086361139,middle,middle,middle,高 GDI × 高 Exposure
池州,安徽,中部,295,0.0033898305,8.0291941010,-0.6585308022,3.6218503840,middle,low,middle,高 GDI × 低 Exposure
沈阳,辽宁,东北,6016,0.0058178191,8.7481045222,-0.2089593179,3.9112238121,high,high,high,高 GDI × 高 Exposure
沧州,河北,东部,663,0.0015082956,8.1814625045,-1.8079057478,3.5144599531,middle,low,low,高 GDI × 低 Exposure
河北省,河北,未知,250,0.0000000000,8.9102876788,1.0038627425,2.9891325764,low,high,high,低 GDI × 高 Exposure
河南省,河南,未知,346,0.0000000000,9.0072815641,0.8327673864,3.2247552979,low,high,high,低 GDI × 高 Exposure
河池,广西,西部,113,0.0000000000,8.8861149040,-0.8728672575,3.4351465322,low,high,middle,低 GDI × 高 Exposure
河源,广东,东部,1234,0.0024311183,8.2169001749,-0.4450538741,3.7387179859,middle,middle,middle,高 GDI × 低 Exposure
泉州,福建,东部,2133,0.0032817628,8.9861384100,-0.1179614313,3.8253497138,middle,high,high,高 GDI × 高 Exposure
泰安,山东,东部,312,0.0000000000,8.2111844276,-0.7137346622,3.4833929199,low,middle,middle,低 GDI × 低 Exposure
泰州,江苏,东部,2832,0.0017655367,8.0296123477,-0.9197435907,3.8635176799,middle,low,middle,高 GDI × 低 Exposure
泸州,四川,西部,637,0.0031397174,9.0245959066,-0.1994639555,3.8015274572,middle,high,high,高 GDI × 高 Exposure
洋浦经济开发区,海南,东部,19,0.0000000000,10.4417215710,0.6500559910,3.0955578320,low,high,high,低 GDI × 高 Exposure
洛阳,河南,中部,1077,0.0027855153,8.4375881869,-1.8180312686,3.6213552956,middle,middle,low,高 GDI × 高 Exposure
济南,山东,东部,4969,0.0100623868,8.9589587808,0.2008157151,3.8365706937,high,high,high,高 GDI × 高 Exposure
济宁,山东,东部,749,0.0053404539,8.5426374292,-1.0474548962,3.7615821285,high,middle,low,高 GDI × 高 Exposure
济源,河南,中部,88,0.0000000000,7.2809501659,-4.6659170176,2.6840225311,low,low,low,低 GDI × 低 Exposure
浙江省,浙江,未知,668,0.0014970060,9.1665635436,0.4889486848,3.7190548473,middle,high,high,高 GDI × 高 Exposure
海东,青海,西部,33,0.0000000000,8.0660532970,-1.5545476587,2.4082687167,low,low,low,低 GDI × 低 Exposure
海北,青海,西部,6,0.0000000000,7.2999605930,0.5606236099,1.3862943611,low,low,high,低 GDI × 低 Exposure
海南州,青海,西部,8,0.0000000000,12.1481255434,-0.9955196676,2.0794415417,low,high,middle,低 GDI × 高 Exposure
海南省,海南,未知,110,0.0000000000,9.0459282754,0.6980460202,3.0518118879,low,high,high,低 GDI × 高 Exposure
海口,海南,东部,1511,0.0019854401,9.2955697942,0.2306681619,3.8117208666,middle,high,high,高 GDI × 高 Exposure
海宁,浙江,东部,931,0.0021482277,8.2822155499,-0.7007016812,3.8450286562,middle,middle,middle,高 GDI × 低 Exposure
海西,青海,西部,76,0.0000000000,8.1371534752,-0.8099731112,3.1368071409,low,low,middle,低 GDI × 低 Exposure
淄博,山东,东部,528,0.0151515152,8.4488619315,-0.5273811082,3.6499298824,high,middle,middle,高 GDI × 高 Exposure
淮北,安徽,中部,260,0.0000000000,7.9816308421,-1.5429180906,3.6992495417,low,low,low,低 GDI × 低 Exposure
淮南,安徽,中部,391,0.0000000000,8.1199235673,-0.6972164702,3.7173645658,low,low,middle,低 GDI × 低 Exposure
淮安,江苏,东部,1739,0.0017251294,8.1639963550,-0.7507659328,3.8221909073,middle,low,middle,高 GDI × 低 Exposure
深圳,深圳,东部,98489,0.0124683975,9.1391458723,0.3955395005,4.0677072111,high,high,high,高 GDI × 高 Exposure
清远,广东,东部,3012,0.0019920319,8.3049960681,-0.8473425170,3.8234695628,middle,middle,middle,高 GDI × 低 Exposure
温州,浙江,东部,4254,0.0023507287,8.6174277452,-0.2310438570,3.8876303679,middle,high,high,高 GDI × 高 Exposure
渭南,陕西,西部,325,0.0000000000,8.2040513315,-2.0766735643,3.4236246813,low,low,low,低 GDI × 低 Exposure
湖北省,湖北,未知,500,0.0060000000,9.3113045805,0.8000879521,3.6183494441,high,high,high,高 GDI × 高 Exposure
湖南省,湖南,未知,342,0.0000000000,9.0166088458,0.3934117754,3.1797040970,low,high,high,低 GDI × 高 Exposure
湖州,浙江,东部,3982,0.0057759920,8.3438088175,-0.5333062260,3.9120686555,high,middle,middle,高 GDI × 低 Exposure
湘潭,湖南,中部,1092,0.0000000000,8.1740577515,-0.9235885470,3.7601875956,low,low,middle,低 GDI × 低 Exposure
湘西,湖南,中部,117,0.0000000000,8.2078369626,-0.5590867287,3.4366004357,low,low,middle,低 GDI × 低 Exposure
湛江,广东,东部,1691,0.0017740982,8.9971451520,-0.3271963278,3.6850820986,middle,high,high,高 GDI × 高 Exposure
滁州,安徽,中部,1978,0.0025278059,7.9694787136,-0.9402003958,3.8403352603,middle,low,middle,高 GDI × 低 Exposure
滨州,山东,东部,247,0.0040485830,8.3685336394,-0.5658234481,3.5942151049,middle,middle,middle,高 GDI × 低 Exposure
漯河,河南,中部,286,0.0069930070,7.7297165886,-2.8137087909,3.2909452043,high,low,low,高 GDI × 低 Exposure
漳州,福建,东部,717,0.0027894003,8.8531013939,-0.2515002488,3.6610012061,middle,high,high,高 GDI × 高 Exposure
潍坊,山东,东部,1126,0.0035523979,8.3757261852,-0.2992832492,3.7792107058,middle,middle,high,高 GDI × 低 Exposure
潜江,湖北,中部,245,0.0000000000,8.0850764209,-1.0390864773,3.4863560443,low,low,low,低 GDI × 低 Exposure
潮州,广东,东部,413,0.0000000000,9.0927920945,-0.4356245572,3.6515177428,low,high,middle,低 GDI × 高 Exposure
澄迈,海南,东部,71,0.0000000000,8.6530811514,-0.9720006851,3.3492878415,low,high,middle,低 GDI × 高 Exposure
濮阳,河南,中部,227,0.0000000000,7.8569098971,-3.3995892198,3.0384012714,low,low,low,低 GDI × 低 Exposure
烟台,山东,东部,1330,0.0037593985,8.7418363303,-0.2583589801,3.9315717117,middle,high,high,高 GDI × 高 Exposure
焦作,河南,中部,386,0.0000000000,7.8749679162,-3.5824244408,3.2702572759,low,low,low,低 GDI × 低 Exposure
燕郊开发区,河北,东部,46,0.0000000000,8.3655095886,-1.6765625351,2.8969327688,low,middle,low,低 GDI × 低 Exposure
牡丹江,黑龙江,东北,91,0.0000000000,8.7334699933,-0.2134130763,3.1112536477,low,high,high,低 GDI × 高 Exposure
玉林,广西,西部,409,0.0000000000,8.3530819757,-0.8200838250,3.6145000369,low,middle,middle,低 GDI × 低 Exposure
玉树,青海,西部,8,0.0000000000,5.8844788469,-0.6368673656,1.8891591638,low,low,middle,低 GDI × 低 Exposure
玉溪,云南,西部,432,0.0000000000,8.4444851120,-1.1107865701,3.5199992754,low,middle,low,低 GDI × 高 Exposure
珠海,广东,东部,10203,0.0093109870,8.7374999252,-0.2010977305,4.0648912861,high,high,high,高 GDI × 高 Exposure
琼中,海南,东部,2,0.0000000000,7.7170119958,0.1433721478,1.0986122887,low,low,high,低 GDI × 低 Exposure
琼海,海南,东部,37,0.0000000000,8.7213539323,0.3762297592,2.4664607602,low,high,high,低 GDI × 高 Exposure
甘南,甘肃,西部,43,0.0000000000,9.3188295591,-0.7160212791,2.7880941051,low,high,middle,低 GDI × 高 Exposure
甘孜,四川,西部,95,0.0000000000,8.6156427085,-0.9181099086,3.4134720853,low,high,middle,低 GDI × 高 Exposure
甘肃省,甘肃,未知,106,0.0000000000,9.1243951388,0.6196072496,3.1309818689,low,high,high,低 GDI × 高 Exposure
白城,吉林,东北,53,0.0000000000,8.5693629312,-0.8781564953,2.8325852839,low,middle,middle,低 GDI × 高 Exposure
白山,吉林,东北,48,0.0000000000,8.5651525665,-0.6531942087,3.2254906834,low,middle,middle,低 GDI × 高 Exposure
白沙,海南,东部,2,0.0000000000,5.6396461834,-2.6393662338,0.6365141683,low,low,low,低 GDI × 低 Exposure
白银,甘肃,西部,92,0.0000000000,8.3100084880,-1.8592001591,2.7278675889,low,middle,low,低 GDI × 低 Exposure
百色,广西,西部,177,0.0056497175,8.9355237208,-0.4971667235,3.3597238405,high,high,middle,高 GDI × 高 Exposure
益阳,湖南,中部,438,0.0000000000,8.0564431348,-2.1094270250,3.5806315088,low,low,low,低 GDI × 低 Exposure
盐城,江苏,东部,2641,0.0022718667,8.0774160553,-0.6840827653,3.8678010739,middle,low,middle,高 GDI × 低 Exposure
盘锦,辽宁,东北,124,0.0000000000,8.1969640038,-0.6141976038,3.2581542996,low,low,middle,低 GDI × 低 Exposure
眉山,四川,西部,888,0.0011261261,8.4786009879,-1.0217740280,3.8911299330,middle,middle,low,高 GDI × 高 Exposure
石嘴山,宁夏,西部,84,0.0000000000,7.3587621355,-1.4857738331,3.1259579556,low,low,low,低 GDI × 低 Exposure
石家庄,河北,东部,2858,0.0041987404,8.9198353067,-0.1980633302,3.6801028345,middle,high,high,高 GDI × 高 Exposure
石河子,新疆,西部,36,0.0000000000,8.5759085056,-0.6863304069,2.8435356865,low,middle,middle,低 GDI × 高 Exposure
神农架,湖北,中部,24,0.0000000000,9.2625041372,-1.5827023891,3.0288503481,low,high,low,低 GDI × 高 Exposure
福州,福建,东部,3971,0.0098212037,8.9946258129,0.1693834171,3.9155138099,high,high,high,高 GDI × 高 Exposure
福建省,福建,未知,282,0.0000000000,8.6195268555,0.6570651974,3.1948929077,low,high,high,低 GDI × 高 Exposure
秦皇岛,河北,东部,453,0.0022075055,8.4312529495,-1.8576987090,3.3275433798,middle,middle,low,高 GDI × 高 Exposure
红河州,云南,西部,496,0.0000000000,8.3480343703,-0.1792662211,3.4675283487,low,middle,high,低 GDI × 低 Exposure
绍兴,浙江,东部,3332,0.0030012005,8.4487885654,-0.4566150245,3.9584529790,middle,middle,middle,高 GDI × 高 Exposure
绥化,黑龙江,东北,136,0.0000000000,8.3267799215,-1.1097768519,2.7493287255,low,middle,low,低 GDI × 低 Exposure
绵阳,四川,西部,1464,0.0061475410,8.6093768642,0.0588962974,3.8852476157,high,middle,high,高 GDI × 高 Exposure
聊城,山东,东部,332,0.0030120482,8.3908372598,-0.4168096127,3.7252345303,middle,middle,middle,高 GDI × 低 Exposure
肇庆,广东,东部,2968,0.0023584906,8.2374687208,-0.8338806258,3.7908005669,middle,middle,middle,高 GDI × 低 Exposure
胡杨河,新疆,西部,5,0.0000000000,5.6396461834,-1.9327630019,2.3025850930,low,low,low,低 GDI × 低 Exposure
自贡,四川,西部,326,0.0000000000,8.4423437383,-0.7797339268,3.6146217954,low,middle,middle,低 GDI × 高 Exposure
舟山,浙江,东部,568,0.0017605634,8.2299031036,-1.3542437563,3.7541717017,middle,middle,low,高 GDI × 低 Exposure
芜湖,安徽,中部,5804,0.0065472088,8.3494147320,-0.0889244823,3.8888485849,high,middle,high,高 GDI × 低 Exposure
苏州,江苏,东部,87704,0.0067043692,8.3586475398,-0.3050809806,3.9511697165,high,middle,high,高 GDI × 低 Exposure
茂名,广东,东部,690,0.0000000000,8.6045724020,-0.3630983570,3.6920291477,low,middle,high,低 GDI × 高 Exposure
荆州,湖北,中部,1397,0.0014316392,8.2933540332,-1.0244052981,3.8374653046,middle,middle,low,高 GDI × 低 Exposure
荆门,湖北,中部,2626,0.0011424219,7.7679806131,-0.6365096773,3.8279055792,middle,low,middle,高 GDI × 低 Exposure
莆田,福建,东部,417,0.0000000000,8.5285510354,-0.9095506423,3.6696929932,low,middle,middle,低 GDI × 高 Exposure
菏泽,山东,东部,401,0.0024937656,8.3981123507,-1.4764150348,3.5179224778,middle,middle,low,高 GDI × 低 Exposure
萍乡,江西,中部,531,0.0000000000,8.3533947180,-1.6803365483,3.5729653766,low,middle,low,低 GDI × 低 Exposure
营口,辽宁,东北,876,0.0000000000,7.4009889175,-1.7158373724,3.3482501234,low,low,low,低 GDI × 低 Exposure
葫芦岛,辽宁,东北,173,0.0000000000,7.9576915086,-0.7510484959,3.4020484526,low,low,middle,低 GDI × 低 Exposure
蚌埠,安徽,中部,732,0.0040983607,8.2421349048,-1.0010324757,3.6867167630,middle,middle,middle,高 GDI × 低 Exposure
衡水,河北,东部,332,0.0000000000,8.0185323079,-2.8378410656,3.1261026580,low,low,low,低 GDI × 低 Exposure
衡阳,湖南,中部,721,0.0069348128,8.4004785298,-0.8161891706,3.7407527831,high,middle,middle,高 GDI × 低 Exposure
衢州,浙江,东部,1082,0.0000000000,8.3151386971,-0.7236216999,3.7774295650,low,middle,middle,低 GDI × 低 Exposure
襄阳,湖北,中部,1904,0.0015756303,8.2619582870,-0.5983853329,3.7711840299,middle,middle,middle,高 GDI × 低 Exposure
西双版纳,云南,西部,252,0.0000000000,9.2380229909,-0.5859867099,3.4574058804,low,high,middle,低 GDI × 高 Exposure
西宁,青海,西部,592,0.0000000000,8.7551861023,-0.6733747691,3.5737877455,low,high,middle,低 GDI × 高 Exposure
西安,陕西,西部,13316,0.0109642535,9.1837959513,0.4397860300,3.9502865226,high,high,high,高 GDI × 高 Exposure
西昌,四川,西部,80,0.0000000000,8.6813551650,0.3298879482,3.2782411529,low,high,high,低 GDI × 高 Exposure
西藏,西藏,未知,9,0.0000000000,9.3302825372,0.5620359971,1.4735023851,low,high,high,低 GDI × 高 Exposure
许昌,河南,中部,660,0.0030303030,8.4424340389,-1.8843094621,3.6360037085,middle,middle,low,高 GDI × 高 Exposure
贵州省,贵州,未知,123,0.0000000000,8.9436108729,1.1309311995,2.8825268209,low,high,high,低 GDI × 高 Exposure
贵港,广西,西部,236,0.0000000000,8.2746131362,-1.5700436381,3.5103473068,low,middle,low,低 GDI × 低 Exposure
贵阳,贵州,西部,2786,0.0093323762,9.1331772877,-0.4211597159,3.8174731779,high,high,middle,高 GDI × 高 Exposure
贺州,广西,西部,135,0.0000000000,8.6377359725,-0.9889503177,3.3334035745,low,high,middle,低 GDI × 高 Exposure
资阳,四川,西部,192,0.0052083333,8.5082079845,-0.2119793419,3.5873114066,high,middle,high,高 GDI × 高 Exposure
赣州,江西,中部,1738,0.0028768700,8.2721195869,-0.8503798134,3.8134415138,middle,middle,middle,高 GDI × 低 Exposure
赤峰,内蒙古,西部,323,0.0000000000,7.7149169962,-1.1544431461,3.0386305132,low,low,low,低 GDI × 低 Exposure
辽宁省,辽宁,未知,240,0.0083333333,8.8562514327,0.2487045654,3.5411511251,high,high,high,高 GDI × 高 Exposure
辽源,吉林,东北,54,0.0000000000,8.1601516499,-1.4289753255,2.8571097487,low,low,low,低 GDI × 低 Exposure
辽阳,辽宁,东北,100,0.0000000000,7.8259740498,-0.6265262235,3.1518612032,low,low,middle,低 GDI × 低 Exposure
达州,四川,西部,262,0.0000000000,8.6184553590,-0.3904731653,3.4602594734,low,high,middle,低 GDI × 高 Exposure
运城,山西,中部,398,0.0000000000,8.0644483435,-2.3618911373,3.2573875019,low,low,low,低 GDI × 低 Exposure
连云港,江苏,东部,1187,0.0016849200,8.3543569353,-1.0694947717,3.8377889616,middle,middle,low,高 GDI × 低 Exposure
迪庆,云南,西部,35,0.0000000000,8.6789513403,-0.4907166400,3.1305830477,low,high,middle,低 GDI × 高 Exposure
通化,吉林,东北,98,0.0000000000,7.9131525488,-1.5057625702,3.1374763971,low,low,low,低 GDI × 低 Exposure
通辽,内蒙古,西部,230,0.0000000000,8.1009742166,-1.0399548411,3.1321900384,low,low,low,低 GDI × 低 Exposure
遂宁,四川,西部,512,0.0000000000,8.4457935596,-0.3335896044,3.7344155342,low,middle,high,低 GDI × 高 Exposure
遵义,贵州,西部,422,0.0000000000,8.4731781796,-2.0304690591,3.2602603842,low,middle,low,低 GDI × 高 Exposure
邓州,河南,中部,45,0.0000000000,7.6134315198,-4.0046339505,2.3544259491,low,low,low,低 GDI × 低 Exposure
邢台,河北,东部,453,0.0000000000,8.2337914875,-2.6527360956,3.3027551477,low,middle,low,低 GDI × 低 Exposure
那曲,西藏,西部,6,0.0000000000,7.1615826316,-0.2794741076,2.1639556569,low,low,high,低 GDI × 低 Exposure
邯郸,河北,东部,713,0.0042075736,8.2057603813,-2.2775857376,3.4044658621,high,low,low,高 GDI × 低 Exposure
邵阳,湖南,中部,345,0.0028985507,8.1669957116,-1.1684221151,3.5114251169,middle,low,low,高 GDI × 低 Exposure
郑州,河南,中部,7449,0.0091287421,9.2765196123,0.3588692380,3.8832553919,high,high,high,高 GDI × 高 Exposure
郴州,湖南,中部,531,0.0000000000,8.1591744183,-1.0277464943,3.4832588122,low,low,low,低 GDI × 低 Exposure
鄂尔多斯,内蒙古,西部,290,0.0000000000,8.1973468769,-0.8893591704,3.6429943427,low,low,middle,低 GDI × 低 Exposure
鄂州,湖北,中部,790,0.0037974684,7.9078564931,-1.2547842270,3.7404484039,middle,low,low,高 GDI × 低 Exposure
酒泉,甘肃,西部,201,0.0000000000,8.5962161725,-2.2245256285,3.3285054286,low,middle,low,低 GDI × 高 Exposure
重庆,重庆,西部,22024,0.0108517980,8.9731486845,0.2888591729,3.9988189054,high,high,high,高 GDI × 高 Exposure
金华,浙江,东部,3097,0.0048433968,8.5701284392,-0.2512744225,3.8929747377,high,middle,high,高 GDI × 高 Exposure
金昌,甘肃,西部,52,0.0000000000,7.4484372407,-2.1186310431,2.8991300738,low,low,low,低 GDI × 低 Exposure
钦州,广西,西部,335,0.0029850746,8.5662064620,-1.2092541204,3.6157121382,middle,middle,low,高 GDI × 高 Exposure
铁岭,辽宁,东北,109,0.0091743119,7.9273657975,-0.5610738211,3.3385369144,high,low,middle,高 GDI × 低 Exposure
铁门关,新疆,西部,1,0.0000000000,10.0991282581,-1.1033360187,,low,high,low,低 GDI × 高 Exposure
铜仁,贵州,西部,186,0.0000000000,7.5569770924,-2.0160583238,3.2640404656,low,low,low,低 GDI × 低 Exposure
铜川,陕西,西部,128,0.0000000000,7.8453163155,-2.7150288323,3.0612687221,low,low,low,低 GDI × 低 Exposure
铜陵,安徽,中部,408,0.0049019608,8.3083275478,-0.9261948762,3.8106203747,high,middle,middle,高 GDI × 低 Exposure
银川,宁夏,西部,1003,0.0039880359,8.5662545074,-0.9897518406,3.7769245810,middle,middle,middle,高 GDI × 高 Exposure
锡林郭勒盟,内蒙古,西部,43,0.0000000000,8.1541454788,-0.3330165054,2.8785677243,low,low,high,低 GDI × 低 Exposure
锦州,辽宁,东北,176,0.0000000000,8.3567962104,-1.0865894439,3.0133868465,low,middle,low,低 GDI × 低 Exposure
镇江,江苏,东部,2842,0.0021111893,8.0896730234,-0.6958669220,3.8427297086,middle,low,middle,高 GDI × 低 Exposure
长春,吉林,东北,2653,0.0064078402,8.6456389055,-0.3609432334,3.8140245741,high,high,high,高 GDI × 高 Exposure
长沙,湖南,中部,13248,0.0094353865,9.0887938182,0.3615639042,3.9662020788,high,high,high,高 GDI × 高 Exposure
长治,山西,中部,299,0.0000000000,8.1552449075,-2.6262649897,3.0881284354,low,low,low,低 GDI × 低 Exposure
阜新,辽宁,东北,104,0.0000000000,7.6060318738,-1.0910761658,3.0057308149,low,low,low,低 GDI × 低 Exposure
阜阳,安徽,中部,592,0.0033783784,8.6163326335,-0.9987308526,3.6097824126,middle,high,middle,高 GDI × 高 Exposure
防城港,广西,西部,162,0.0000000000,8.9794361616,-0.9908201709,3.4124804677,low,high,middle,低 GDI × 高 Exposure
阳江,广东,东部,812,0.0000000000,8.5562719584,-0.4559151202,3.7336315585,low,middle,middle,低 GDI × 高 Exposure
阳泉,山西,中部,135,0.0000000000,7.7487022959,-3.2871545860,2.9461627260,low,low,low,低 GDI × 低 Exposure
阿克苏,新疆,西部,241,0.0000000000,7.8587073490,-1.3323028591,3.0998226729,low,low,low,低 GDI × 低 Exposure
阿勒泰,新疆,西部,15,0.0000000000,9.9802474462,0.1536534054,2.2603834427,low,high,high,低 GDI × 高 Exposure
阿坝,四川,西部,79,0.0000000000,8.5016537038,-1.0028248061,3.1951523753,low,middle,middle,低 GDI × 高 Exposure
阿拉善盟,内蒙古,西部,12,0.0000000000,7.5752311329,-1.0199438886,2.7516666169,low,low,low,低 GDI × 低 Exposure
阿拉尔,新疆,西部,6,0.0000000000,9.9570790685,-0.4383429611,1.2424533249,low,high,middle,低 GDI × 高 Exposure
阿里,西藏,西部,7,0.0000000000,7.3308550725,-1.2493189838,1.7328679514,low,low,low,低 GDI × 低 Exposure
陇南,甘肃,西部,98,0.0000000000,8.1933365677,-1.7669198502,3.1559813486,low,low,low,低 GDI × 低 Exposure
陕西省,陕西,未知,329,0.0030395137,9.1963121126,0.4124883877,3.5485633872,middle,high,high,高 GDI × 高 Exposure
陵水,海南,东部,53,0.0000000000,8.1988539631,-0.1094489696,3.0087862074,low,low,high,低 GDI × 低 Exposure
随州,湖北,中部,438,0.0000000000,8.5964367290,-0.1848670757,3.8354467633,low,middle,high,低 GDI × 高 Exposure
雄安新区,河北,东部,270,0.0000000000,8.5988510870,-1.3804681794,3.4834306184,low,middle,low,低 GDI × 高 Exposure
雅安,四川,西部,138,0.0000000000,8.7209290477,-0.2801370088,3.5922016667,low,high,high,低 GDI × 高 Exposure
青岛,山东,东部,6538,0.0094830223,8.8602495966,0.0184707662,3.9628605224,high,high,high,高 GDI × 高 Exposure
青海省,青海,未知,38,0.0000000000,8.9765967723,1.3216579114,2.3896841269,low,high,high,低 GDI × 高 Exposure
鞍山,辽宁,东北,403,0.0000000000,7.6411635143,-1.0262586858,3.3759692229,low,low,low,低 GDI × 低 Exposure
韶关,广东,东部,1001,0.0009990010,8.2091991009,-0.9437194978,3.7319237232,middle,middle,middle,高 GDI × 低 Exposure
马鞍山,安徽,中部,1343,0.0014892033,7.8909191282,-1.0231070766,3.7399251984,middle,low,low,高 GDI × 低 Exposure
驻马店,河南,中部,373,0.0000000000,7.9681032616,-2.9434808497,3.0809317737,low,low,low,低 GDI × 低 Exposure
鸡西,黑龙江,东北,35,0.0000000000,7.9694794396,-0.8414804296,2.4909549396,low,low,middle,低 GDI × 低 Exposure
鹤壁,河南,中部,336,0.0000000000,7.6929556782,-3.0586101619,3.4311879185,low,low,low,低 GDI × 低 Exposure
鹤岗,黑龙江,东北,32,0.0000000000,7.3998734079,-1.5809504706,2.4777720048,low,low,low,低 GDI × 低 Exposure
鹰潭,江西,中部,314,0.0000000000,8.0934109573,-1.7653824282,3.5645099112,low,low,low,低 GDI × 低 Exposure
黄冈,湖北,中部,879,0.0011376564,8.4874861944,-0.6221710415,3.8261165454,middle,middle,middle,高 GDI × 高 Exposure
黄南,青海,西部,2,0.0000000000,7.7170119958,-0.1992599847,1.0986122887,low,low,high,低 GDI × 低 Exposure
黄山,安徽,中部,312,0.0032051282,8.2402412058,-0.7210094096,3.7295126084,middle,middle,middle,高 GDI × 低 Exposure
黄石,湖北,中部,965,0.0051813472,8.0576042573,-0.9210026518,3.7690645370,high,low,middle,高 GDI × 低 Exposure
黑河,黑龙江,东北,34,0.0000000000,7.9849583604,-1.4430892380,2.8928987189,low,low,low,低 GDI × 低 Exposure
黑龙江省,黑龙江,未知,133,0.0075187970,8.8614995026,0.1707098554,2.6726977360,high,high,high,高 GDI × 高 Exposure
黔东南,贵州,西部,118,0.0000000000,8.5587012868,-1.5415027234,3.3132756761,low,middle,low,低 GDI × 高 Exposure
黔南,贵州,西部,184,0.0000000000,8.3446858676,-1.3879504285,3.5797120822,low,middle,low,低 GDI × 低 Exposure
黔西南,贵州,西部,101,0.0000000000,8.4756983446,-1.6595321116,3.2730005416,low,middle,low,低 GDI × 高 Exposure
齐齐哈尔,黑龙江,东北,155,0.0000000000,8.2770823990,-0.8413208459,2.9729475833,low,middle,middle,低 GDI × 低 Exposure
龙岩,福建,东部,281,0.0035587189,8.0911087422,-0.5243795580,3.6614866988,middle,low,middle,高 GDI × 低 Exposure
