city,province,region_std,city_job_count,GDI_c,Exposure_c,SRI_c,entropy_c,GDI_group,Exposure_group,SRI_group,city_type
呼和浩特,内蒙古,西部,1157,0.0025929127,8.8535429450,-0.3520965822,3.6323500263,middle,high,high,高 GDI × 高 Exposure
和田,新疆,西部,27,0.0000000000,8.9316177915,0.6811553471,2.7882925380,low,high,high,低 GDI × 高 Exposure
咸宁,湖北,中部,902,0.0011086475,8.1734007297,-0.7662854632,3.8273187297,middle,low,middle,高 GDI × 低 Exposure
咸阳,陕西,西部,1080,0.0000000000,8.1627798863,-1.9296160197,3.6654119146,low,low,low,低 GDI × 低 Exposure
哈密,新疆,西部,94,0.0000000000,7.8830616561,-0.5200869677,3.4369927133,low,low,middle,低 GDI × 低 Exposure
哈尔滨,黑龙江,东北,1942,0.0087538620,8.9935521423,-0.1397711526,3.8272017143,high,high,high,高 GDI × 高 Exposure
唐山,河北,东部,697,0.0043041607,8.5472632740,-1.7056491130,3.4587161308,high,middle,low,高 GDI × 高 Exposure
商丘,河南,中部,378,0.0000000000,7.9280504430,-3.1848207682,3.0772601463,low,low,low,低 GDI × 低 Exposure
商洛,陕西,西部,122,0.0000000000,7.9611752317,-2.2075327182,3.1506241530,low,low,low,低 GDI × 低 Exposure
喀什地区,新疆,西部,121,0.0000000000,9.3425408372,0.3931659971,3.1589227780,low,high,high,低 GDI × 高 Exposure
嘉兴,浙江,东部,11604,0.0053429852,8.2941602893,-0.5345269961,3.9503684766,high,middle,middle,高 GDI × 低 Exposure
嘉峪关,甘肃,西部,61,0.0000000000,8.2313097291,-2.0551788291,2.6051198796,low,middle,low,低 GDI × 低 Exposure
四川省,四川,未知,516,0.0232558140,9.9864848967,0.5582254606,3.5722532146,high,high,high,高 GDI × 高 Exposure
四平,吉林,东北,102,0.0000000000,8.9681977314,-0.3860054641,3.2975562775,low,high,middle,低 GDI × 高 Exposure
固原,宁夏,西部,65,0.0000000000,7.8629041405,-1.5234035664,2.7556823171,low,low,low,低 GDI × 低 Exposure
国外,,未知,3,0.0000000000,6.5395300149,-0.9881937886,2.1458417526,low,low,middle,低 GDI × 低 Exposure
图木舒克,新疆,西部,15,0.0000000000,7.8760200363,-0.4264367327,2.3034884952,low,low,middle,低 GDI × 低 Exposure
塔城,新疆,西部,37,0.0000000000,8.7493366498,-0.3609579145,3.1007011919,low,high,high,低 GDI × 高 Exposure
大兴安岭,黑龙江,东北,17,0.0000000000,8.8757077452,-0.0846770664,2.3021471895,low,high,high,低 GDI × 高 Exposure
大同,山西,中部,448,0.0022321429,8.4560001628,-2.1734120442,3.1436439401,middle,middle,low,高 GDI × 高 Exposure
大庆,黑龙江,东北,172,0.0000000000,8.5410371212,-0.7309357717,3.2873550467,low,middle,middle,低 GDI × 高 Exposure
大理,云南,西部,562,0.0017793594,8.9989705221,-0.4487830121,3.5791855932,middle,high,middle,高 GDI × 高 Exposure
大连,辽宁,东北,6238,0.0081756973,8.6361715025,-0.7406848159,3.9931356401,high,high,middle,高 GDI × 高 Exposure
天水,甘肃,西部,219,0.0000000000,8.2079089986,-2.3975217878,2.9255122571,low,middle,low,低 GDI × 低 Exposure
天津,天津,东部,7051,0.0102113175,8.8995065550,0.0991275255,3.9840582910,high,high,high,高 GDI × 高 Exposure
天门,湖北,中部,278,0.0000000000,8.2736335303,-0.7445515258,3.5436009000,low,middle,middle,低 GDI × 低 Exposure
太仓,,未知,5,0.0000000000,7.7993673791,0.4575005285,2.3693821197,low,low,high,低 GDI × 低 Exposure
太原,山西,中部,2188,0.0036563071,8.7096774042,-0.4188462092,3.6824140282,middle,high,middle,高 GDI × 高 Exposure
威海,山东,东部,494,0.0101214575,8.6326484827,-0.5024000924,3.8403240061,high,high,middle,高 GDI × 高 Exposure
娄底,湖南,中部,351,0.0000000000,8.4137096351,-1.0894575707,3.5655954104,low,middle,low,低 GDI × 高 Exposure
孝感,湖北,中部,1591,0.0050282841,8.1229739136,-1.0819565421,3.8450170528,high,low,low,高 GDI × 低 Exposure
宁夏,宁夏,未知,46,0.0217391304,9.1323741251,0.6299854029,2.7309553859,high,high,high,高 GDI × 高 Exposure
宁德,福建,东部,756,0.0026455026,8.2812104558,-0.5726936392,3.7619684631,middle,middle,middle,高 GDI × 低 Exposure
宁波,浙江,东部,31120,0.0054305913,8.5985321812,-0.0868094209,3.9464120276,high,middle,high,高 GDI × 高 Exposure
安庆,安徽,中部,788,0.0012690355,7.9368059262,-1.0683284703,3.6056740359,middle,low,low,高 GDI × 低 Exposure
安康,陕西,西部,212,0.0000000000,8.4092247520,-2.2270555779,3.1818518319,low,middle,low,低 GDI × 高 Exposure
安徽省,安徽,未知,305,0.0131147541,8.5899466880,0.4902657861,3.2989298570,high,middle,high,高 GDI × 高 Exposure
安阳,河南,中部,384,0.0000000000,7.9774883980,-3.3891582982,3.2548498028,low,low,low,低 GDI × 低 Exposure
安顺,贵州,西部,172,0.0000000000,7.7959162773,-1.9989480845,3.4016405600,low,low,low,低 GDI × 低 Exposure
定安,海南,东部,25,0.0000000000,8.2949658505,-0.5108377052,2.9489543702,low,middle,middle,低 GDI × 低 Exposure
定西,甘肃,西部,103,0.0097087379,8.5326030252,-1.1128714340,3.0740915812,high,middle,low,高 GDI × 高 Exposure
宜宾,四川,西部,1280,0.0000000000,8.5503743537,-0.3454852423,3.8845239709,low,middle,high,低 GDI × 高 Exposure
宜昌,湖北,中部,1553,0.0032195750,8.4919749022,-0.5639655233,3.7981094813,middle,middle,middle,高 GDI × 高 Exposure
宜春,江西,中部,927,0.0021574973,8.1356426354,-1.0691818512,3.7884062123,middle,low,low,高 GDI × 低 Exposure
宝鸡,陕西,西部,563,0.0000000000,8.0522187148,-1.8847468439,3.4339215674,low,low,low,低 GDI × 低 Exposure
宣城,安徽,中部,899,0.0033370412,7.8005512555,-0.8163843350,3.7716494310,middle,low,middle,高 GDI × 低 Exposure
宿州,安徽,中部,580,0.0000000000,8.4399837164,-1.5079556285,3.5497940828,low,middle,low,低 GDI × 高 Exposure
宿迁,江苏,东部,983,0.0020345880,8.0961703514,-0.8645074761,3.7916765416,middle,low,middle,高 GDI × 低 Exposure
屯昌,海南,东部,2,0.0000000000,8.2187076282,0.3090059735,0.6931471806,low,middle,high,低 GDI × 低 Exposure
