city,province,region_std,city_job_count,GDI_c,Exposure_c,SRI_c,entropy_c,GDI_group,Exposure_group,SRI_group,city_type,n_c,city_display_weight,GDI_c_weighted_display,Exposure_c_weighted_display,SRI_c_weighted_display,entropy_c_weighted_display,GDI_rank_raw,GDI_rank_weighted,SRI_rank_raw,SRI_rank_weighted,small_sample_threshold,small_sample_penalty_weight,small_sample_penalty_flag,GDI_c_penalty_display,GDI_rank_penalty,Exposure_c_penalty_display,Exposure_rank_raw,Exposure_rank_penalty,SRI_c_penalty_display,SRI_rank_penalty,entropy_c_penalty_display,entropy_rank_raw,entropy_rank_penalty
仙桃,湖北,中部,400,0.0,7.9438090802,-1.1604635486,3.6635646764,low,low,low,低 GDI × 低 Exposure,400,0.054111991621421,0.0,0.429855330389951,-0.0627949938188077,0.198242781073891,165.0,165.0,242.0,226.0,1000,0.6324555320336759,1,0.0,165.0,5.024105998191836,285.0,167.0,-0.7339415910355004,244.0,2.3170417465523436,124.0,150.0
伊春,黑龙江,东北,52,0.0,8.518790787,-0.5677483017,2.6328164431,low,middle,middle,低 GDI × 高 Exposure,52,0.0195103560408511,0.0,0.1662046412918925,-0.0110769715077555,0.0513671861950883,165.0,165.0,139.0,78.0,1000,0.22803508501982758,1,0.0,165.0,1.942583181379669,126.0,309.0,-0.12946653224802224,84.0,0.6003745214439085,324.0,314.0
伊犁,新疆,西部,103,0.0,8.6455514075,-0.1537646955,3.3244842169,low,high,high,低 GDI × 高 Exposure,103,0.027458836766849,0.0,0.2373967848579446,-0.0042221996742387,0.0912864694458231,165.0,165.0,51.0,47.0,1000,0.3209361307176242,1,0.0,165.0,2.77466981664336,87.0,274.0,-0.04934864641474368,48.0,1.066947101203697,224.0,274.0
佛山,广东,东部,22680,0.0071428571,8.9450411921,-0.0475111692,4.0288134262,high,high,high,高 GDI × 高 Exposure,22680,0.4074600631121085,0.0029104290047667,3.644747048673476,-0.019358904000762,1.641580572906362,42.0,14.0,40.0,106.0,1000,1.0,0,0.0071428571,30.0,8.9450411921,53.0,25.0,-0.0475111692,47.0,4.0288134262,8.0,8.0
佳木斯,黑龙江,东北,107,0.0093457944,7.8359432885,-0.3388645627,2.8973802769,high,low,high,高 GDI × 低 Exposure,107,0.0279869396855181,0.000261560184186,0.21930407219439,-0.0094837820778443,0.0810888070556101,30.0,95.0,88.0,72.0,1000,0.32710854467592254,1,0.0030570892050243866,85.0,2.5632040052642977,306.0,288.0,-0.1108454939470399,78.0,0.9477578457494804,308.0,291.0
保定,河北,东部,1280,0.00078125,8.3551376068,-1.9346598234,3.5468640629,middle,middle,low,高 GDI × 低 Exposure,1280,0.0967984733307172,7.562380728962288e-05,0.8087645648063027,-0.187272117319395,0.3433310264003051,163.0,163.0,298.0,337.0,1000,1.0,0,0.00078125,163.0,8.3551376068,174.0,58.0,-1.9346598234,337.0,3.5468640629,167.0,96.0
保山,云南,西部,193,0.0,9.1149523386,-0.6641080848,3.4997732361,low,high,middle,低 GDI × 高 Exposure,193,0.0375873906379084,0.0,0.3426072741968755,-0.0249620900091708,0.1315473437693877,165.0,165.0,154.0,130.0,1000,0.4393176527297759,1,0.0,165.0,4.004359466137534,28.0,217.0,-0.291754404973203,140.0,1.5375121631699438,178.0,221.0
信阳,河南,中部,401,0.0,7.7995246421,-3.0235363768,3.368546077,low,low,low,低 GDI × 低 Exposure,401,0.0541795893887157,0.0,0.4225750425361479,-0.1638139593968692,0.1825064432888291,165.0,165.0,332.0,330.0,1000,0.6332456079595026,1,0.0,165.0,4.939014723781736,310.0,172.0,-1.9146411311143878,335.0,2.1331170084694624,212.0,167.0
儋州,海南,东部,108,0.0,8.9643692578,-0.3148406887,3.3259069535,low,high,high,低 GDI × 高 Exposure,108,0.0281174156361128,0.0,0.2520548963371546,-0.0088525065033379,0.0935159081785972,165.0,165.0,83.0,67.0,1000,0.3286335345030997,1,0.0,165.0,2.945992353781742,50.0,266.0,-0.10346720833287111,73.0,1.0930045575571414,223.0,270.0
克孜勒苏柯尔克孜,新疆,西部,18,0.0,6.1932568115,-0.7444048136,2.0801158528,low,low,middle,低 GDI × 低 Exposure,18,0.0114788868657049,0.0,0.071091694269465,-0.0085449386376005,0.0238774145418505,165.0,165.0,174.0,65.0,1000,0.1341640786499874,1,0.0,165.0,0.8309125939576562,342.0,333.0,-0.0998723859592596,71.0,0.2790768268761448,337.0,332.0
