city,province,city_job_count,small_sample_penalty_weight,small_sample_penalty_flag,GDI_c,GDI_rank_raw,GDI_rank_penalty,SRI_c,SRI_rank_raw,SRI_rank_penalty,entropy_c,entropy_rank_raw,entropy_rank_penalty,GDI_rank_change,SRI_rank_change,entropy_rank_change
双鸭山,黑龙江,31,0.17606816861659008,1,0.0,165.0,165.0,-0.5356922379,129.0,68.0,2.6472082086,323.0,323.0,0.0,-61.0,0.0
台州,浙江,3278,1.0,0,0.0015253203,147.0,140.0,-0.415859322,104.0,177.0,3.8618271006,49.0,47.0,-7.0,73.0,-2.0
合肥,安徽,16438,1.0,0,0.0104027254,22.0,16.0,0.1021371225,29.0,24.0,3.9759017057,18.0,18.0,-6.0,-5.0,0.0
吉安,江西,1460,1.0,0,0.0061643836,51.0,40.0,-0.3958111832,99.0,173.0,3.8369561851,59.0,55.0,-11.0,74.0,-4.0
吐鲁番,新疆,29,0.17029386365926402,1,0.0,165.0,165.0,-0.9294926084,207.0,91.0,2.7729734675,317.0,321.0,0.0,-116.0,4.0
吕梁,山西,196,0.4427188724235731,1,0.0,165.0,165.0,-3.2504606245,336.0,314.0,2.9278925679,303.0,247.0,0.0,-22.0,-56.0
吴忠,宁夏,106,0.3255764119219941,1,0.0094339623,27.0,84.0,-1.1982136036,246.0,169.0,3.0605333786,286.0,284.0,57.0,-77.0,-2.0
周口,河南,514,0.7169379331573968,1,0.0,165.0,165.0,-3.1896476585,335.0,342.0,3.2935847816,231.0,146.0,0.0,7.0,-85.0
呼伦贝尔,内蒙古,79,0.2810693864511039,1,0.0,165.0,165.0,-0.2351913441,69.0,55.0,3.1809349974,256.0,297.0,0.0,-14.0,41.0
呼和浩特,内蒙古,1223,1.0,0,0.0024529845,121.0,100.0,-0.3194452104,86.0,147.0,3.6262228697,135.0,90.0,-21.0,61.0,-45.0
和田,新疆,27,0.16431676725154984,1,0.0,165.0,165.0,0.7050156211,4.0,22.0,2.788292538,315.0,325.0,0.0,18.0,10.0
咸宁,湖北,902,0.9497368056467013,1,0.0011086475,160.0,160.0,-0.7482884953,175.0,239.0,3.8273187297,63.0,89.0,0.0,64.0,26.0
咸阳,陕西,1162,1.0,0,0.0008605852,162.0,162.0,-1.8252494976,289.0,334.0,3.6922996079,112.0,83.0,0.0,45.0,-29.0
哈密,新疆,94,0.3065941943351178,1,0.0,165.0,165.0,-0.5017230942,120.0,89.0,3.4369927133,194.0,275.0,0.0,-31.0,81.0
哈尔滨,黑龙江,2075,1.0,0,0.0086746988,39.0,26.0,-0.0928819142,46.0,66.0,3.8074551149,74.0,64.0,-13.0,20.0,-10.0
唐山,河北,697,0.8348652585896721,1,0.0043041607,77.0,69.0,-1.6933299844,281.0,311.0,3.4587161308,189.0,122.0,-8.0,30.0,-67.0
商丘,河南,378,0.6148170459575759,1,0.0,165.0,165.0,-3.1775386823,334.0,338.0,3.0772601463,282.0,195.0,0.0,4.0,-87.0
商洛,陕西,122,0.3492849839314596,1,0.0,165.0,165.0,-2.1975466515,308.0,250.0,3.150624153,264.0,267.0,0.0,-58.0,3.0
喀什地区,新疆,121,0.3478505426185217,1,0.0,165.0,165.0,0.4157649083,11.0,18.0,3.158922778,261.0,268.0,0.0,7.0,7.0
嘉兴,浙江,11604,1.0,0,0.0053429852,62.0,48.0,-0.5165815654,127.0,200.0,3.9503684766,23.0,23.0,-14.0,73.0,0.0
嘉峪关,甘肃,61,0.2469817807045694,1,0.0,165.0,165.0,-2.0458319278,302.0,194.0,2.6051198796,325.0,312.0,0.0,-108.0,-13.0
四平,吉林,102,0.31937438845342625,1,0.0,165.0,165.0,-0.3685596259,96.0,81.0,3.2975562775,230.0,276.0,0.0,-15.0,46.0
固原,宁夏,65,0.25495097567963926,1,0.0,165.0,165.0,-1.5127804571,265.0,167.0,2.7556823171,318.0,306.0,0.0,-98.0,-12.0
塔城,新疆,37,0.19235384061671346,1,0.0,165.0,165.0,-0.3418347625,91.0,54.0,3.1007011919,277.0,316.0,0.0,-37.0,39.0
大兴安岭,黑龙江,17,0.130384048104053,1,0.0,165.0,165.0,-0.0681389605,42.0,38.0,2.3021471895,333.0,330.0,0.0,-4.0,-3.0
大同,山西,448,0.6693280212272604,1,0.0022321429,128.0,141.0,-2.1632115098,307.0,315.0,3.1436439401,265.0,171.0,13.0,8.0,-94.0
大庆,黑龙江,172,0.4147288270665544,1,0.0,165.0,165.0,-0.7151190218,168.0,143.0,3.2873550467,233.0,243.0,0.0,-25.0,10.0
大理,云南,562,0.7496665925596525,1,0.0017793594,138.0,147.0,-0.4306792175,108.0,148.0,3.5791855932,157.0,131.0,9.0,40.0,-26.0
大连,辽宁,6238,1.0,0,0.0081756973,40.0,28.0,-0.7279474262,171.0,241.0,3.9931356401,14.0,14.0,-12.0,70.0,0.0
天水,甘肃,219,0.4679743582719036,1,0.0,165.0,165.0,-2.38870977,314.0,293.0,2.9255122571,304.0,242.0,0.0,-21.0,-62.0
天津,天津,7051,1.0,0,0.0102113175,23.0,17.0,0.1145534576,28.0,23.0,3.984058291,16.0,16.0,-6.0,-5.0,0.0
天门,湖北,278,0.5272570530585627,1,0.0,165.0,165.0,-0.7260470162,170.0,165.0,3.5436009,168.0,198.0,0.0,-5.0,30.0
太原,山西,2317,1.0,0,0.0034527406,94.0,76.0,-0.3459036343,93.0,155.0,3.6834294631,119.0,85.0,-18.0,62.0,-34.0
威海,山东,494,0.7028513356322231,1,0.0101214575,24.0,31.0,-0.4882351639,118.0,154.0,3.8403240061,56.0,129.0,7.0,36.0,73.0
娄底,湖南,351,0.5924525297439449,1,0.0,165.0,165.0,-1.073424724,235.0,221.0,3.5655954104,161.0,170.0,0.0,-14.0,9.0
孝感,湖北,1591,1.0,0,0.0050282841,69.0,52.0,-1.0674269374,233.0,290.0,3.8450170528,52.0,49.0,-17.0,57.0,-3.0
宁德,福建,756,0.8694826047713663,1,0.0026455026,116.0,106.0,-0.5541498708,137.0,190.0,3.7619684631,92.0,106.0,-10.0,53.0,14.0
宁波,浙江,31120,1.0,0,0.0054305913,61.0,47.0,-0.0678812311,41.0,56.0,3.9464120276,25.0,25.0,-14.0,15.0,0.0
安庆,安徽,788,0.8876936408468858,1,0.0012690355,154.0,155.0,-1.0506029029,229.0,274.0,3.6056740359,147.0,109.0,1.0,45.0,-38.0
安康,陕西,212,0.4604345773288535,1,0.0,165.0,165.0,-2.2171222098,310.0,286.0,3.1818518319,255.0,229.0,0.0,-24.0,-26.0
安阳,河南,384,0.6196773353931867,1,0.0,165.0,165.0,-3.3840334378,338.0,339.0,3.2548498028,246.0,183.0,0.0,1.0,-63.0
安顺,贵州,172,0.4147288270665544,1,0.0,165.0,165.0,-1.9867180914,299.0,255.0,3.40164056,207.0,237.0,0.0,-44.0,30.0
定西,甘肃,103,0.3209361307176242,1,0.0097087379,25.0,83.0,-1.1014966124,239.0,158.0,3.0740915812,283.0,287.0,58.0,-81.0,4.0
宜宾,四川,1280,1.0,0,0.0,165.0,165.0,-0.3250894969,87.0,150.0,3.8845239709,43.0,41.0,0.0,63.0,-2.0
宜昌,湖北,1553,1.0,0,0.003219575,101.0,80.0,-0.54586655,132.0,207.0,3.7981094813,78.0,66.0,-21.0,75.0,-12.0
宜春,江西,927,0.9628083921528727,1,0.0021574973,132.0,113.0,-1.0531826875,231.0,285.0,3.7884062123,81.0,88.0,-19.0,54.0,7.0
宝鸡,陕西,563,0.7503332592921628,1,0.0,165.0,165.0,-1.8724179883,293.0,310.0,3.4339215674,197.0,135.0,0.0,17.0,-62.0
宣城,安徽,899,0.9481561052906847,1,0.0033370412,97.0,81.0,-0.7990825917,183.0,248.0,3.771649431,86.0,94.0,-16.0,65.0,8.0
宿州,安徽,580,0.7615773105863908,1,0.0,165.0,165.0,-1.4921172504,263.0,295.0,3.5497940828,166.0,128.0,0.0,32.0,-38.0
宿迁,江苏,983,0.991463564635635,1,0.002034588,136.0,117.0,-0.8464040956,192.0,258.0,3.7916765416,79.0,76.0,-19.0,66.0,-3.0
山南,西藏,13,0.11401754250991379,1,0.0,165.0,165.0,-0.0796068115,45.0,40.0,2.5325911608,326.0,331.0,0.0,-5.0,5.0
岳阳,湖南,827,0.9093954035511725,1,0.0012091898,156.0,157.0,-1.646926529,276.0,319.0,3.6895648056,115.0,102.0,1.0,43.0,-13.0
崇左,广西,236,0.48579831205964474,1,0.0042372881,78.0,115.0,-1.3716233101,254.0,232.0,3.6921386977,113.0,203.0,37.0,-22.0,90.0
巴中,四川,111,0.3331666249791536,1,0.0,165.0,165.0,-0.117542904,49.0,46.0,3.4514582681,192.0,262.0,0.0,-3.0,70.0
巴彦淖尔,内蒙古,98,0.31304951684997057,1,0.0,165.0,165.0,-0.3004808649,80.0,67.0,3.1798639409,258.0,285.0,0.0,-13.0,27.0
巴音郭楞,新疆,74,0.2720294101747089,1,0.0135135135,13.0,67.0,-0.0196457354,39.0,36.0,3.3857988037,209.0,294.0,54.0,-3.0,85.0
常州,江苏,19794,1.0,0,0.0047994342,73.0,55.0,-0.5154473622,125.0,198.0,3.9391115585,26.0,26.0,-18.0,73.0,0.0
常德,湖南,586,0.7655063683601855,1,0.0017064846,143.0,149.0,-1.1927376828,244.0,268.0,3.5231455654,170.0,130.0,6.0,24.0,-40.0
