city,province,region_std,city_job_count,small_sample_threshold,small_sample_penalty_weight,small_sample_penalty_flag,GDI_c,GDI_c_penalty_display,Exposure_c,Exposure_c_penalty_display,SRI_c,SRI_c_penalty_display,entropy_c,entropy_c_penalty_display,GDI_rank_raw,GDI_rank_penalty,Exposure_rank_raw,Exposure_rank_penalty,SRI_rank_raw,SRI_rank_penalty,entropy_rank_raw,entropy_rank_penalty
六盘水,贵州,西部,227,1000,0.47644516998286385,1,0.0,0.0,8.0785267809,3.8489750653370187,-1.6553985589,-0.7887066477844984,3.3378966581,1.5903247406536878,165.0,165.0,261.0,227.0,278.0,252.0,218.0,219.0
兰州,甘肃,西部,1693,1000,1.0,0,0.0005906675,0.0005906675,8.7455850644,8.7455850644,-0.54645823,-0.54645823,3.4916228008,3.4916228008,164.0,164.0,74.0,33.0,133.0,208.0,179.0,98.0
兴安盟,内蒙古,西部,35,1000,0.18708286933869708,1,0.0,0.0,8.1359161847,1.5220905445328208,-0.6056921021,-0.11331461639665508,3.1262545923,0.5848686794107626,165.0,165.0,243.0,319.0,147.0,80.0,271.0,318.0
内江,四川,西部,404,1000,0.6356099432828282,1,0.0024752475,0.0015732919230859622,8.5185462365,5.414472690233914,-0.4016929729,-0.2553200477220796,3.6775044178,2.337458374420208,120.0,138.0,127.0,155.0,102.0,119.0,121.0,148.0
凉山,四川,西部,230,1000,0.47958315233127197,1,0.0086956522,0.0041702882936523605,8.6649887596,4.155582624244006,-0.5020765642,-0.24078746137069026,3.4563535825,1.657608946666835,38.0,61.0,84.0,211.0,121.0,117.0,191.0,216.0
包头,内蒙古,西部,433,1000,0.6580273550544841,1,0.0,0.0,8.3431129293,5.489996533788148,-0.9760976988,-0.6422989870161324,3.1680156851,2.084640982037472,165.0,165.0,184.0,153.0,211.0,223.0,260.0,174.0
北京,北京,东部,27472,1000,1.0,0,0.029011357,0.029011357,9.8365080735,9.8365080735,1.4431886966,1.4431886966,4.0978192798,4.0978192798,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0
北海,广西,西部,352,1000,0.593295878967653,1,0.0,0.0,8.3137063649,4.932487725242317,-1.4406602451,-0.8547377864103589,3.6308862229,2.1541898330469973,165.0,165.0,191.0,173.0,260.0,261.0,134.0,162.0
十堰,湖北,中部,611,1000,0.7816648898345121,1,0.0032733224,0.0025586411931888407,8.6463614538,6.75855717325395,-0.2077669868,-0.16240415884827053,3.7256178018,2.912184628609494,100.0,96.0,86.0,123.0,65.0,92.0,107.0,121.0
南京,江苏,东部,26215,1000,1.0,0,0.0135418653,0.0135418653,9.0774439157,9.0774439157,0.393955943,0.393955943,4.0344882911,4.0344882911,12.0,6.0,34.0,15.0,15.0,10.0,7.0,7.0
南充,四川,西部,492,1000,0.7014271166700072,1,0.0,0.0,8.6073024301,6.03739532585179,-0.4186302484,-0.2936386080860609,3.6467398253,2.557922200905865,165.0,165.0,101.0,136.0,106.0,141.0,130.0,136.0
南宁,广西,西部,4527,1000,1.0,0,0.0136956042,0.0136956042,9.0238436867,9.0238436867,-0.3636107494,-0.3636107494,3.8509695922,3.8509695922,10.0,4.0,38.0,17.0,95.0,161.0,50.0,48.0
南平,福建,东部,198,1000,0.4449719092257398,1,0.0,0.0,8.7094534448,3.8754621276453523,-1.9138002781,-0.8515873636229089,3.6256386047,1.6133073320959064,165.0,165.0,80.0,223.0,296.0,260.0,136.0,218.0
南昌,江西,中部,5609,1000,1.0,0,0.0062399715,0.0062399715,8.7936137572,8.7936137572,0.0320895711,0.0320895711,3.894699534,3.894699534,50.0,39.0,66.0,30.0,35.0,33.0,36.0,36.0
南通,江苏,东部,12469,1000,1.0,0,0.003769348,0.003769348,7.8495784163,7.8495784163,-0.7640553586,-0.7640553586,3.8982449126,3.8982449126,87.0,64.0,302.0,96.0,178.0,249.0,34.0,34.0
南阳,河南,中部,907,1000,0.9523654760647301,1,0.0044101433,0.004200068223418179,8.1231477703,7.73620549340591,-2.7157715544,-2.586407069289208,3.1051534048,2.9572409006163696,76.0,60.0,246.0,100.0,319.0,343.0,276.0,119.0
博尔塔拉,新疆,西部,12,1000,0.10954451150103323,1,0.0,0.0,7.5412073158,0.826097871537329,-1.000347361,-0.10958256299209274,2.4471513083,0.26807199463683784,165.0,165.0,329.0,335.0,217.0,76.0,329.0,335.0
厦门,福建,东部,4717,1000,1.0,0,0.0127199491,0.0127199491,9.0505387537,9.0505387537,0.3822810287,0.3822810287,4.0167715759,4.0167715759,16.0,9.0,35.0,16.0,16.0,11.0,10.0,10.0
双鸭山,黑龙江,东北,31,1000,0.17606816861659008,1,0.0,0.0,8.0625270158,1.4195543660936873,-0.5356922379,-0.09431835126917569,2.6472082086,0.4660891012350062,165.0,165.0,265.0,325.0,129.0,68.0,323.0,323.0
台州,浙江,东部,3278,1000,1.0,0,0.0015253203,0.0015253203,8.0909154326,8.0909154326,-0.415859322,-0.415859322,3.8618271006,3.8618271006,147.0,140.0,254.0,82.0,104.0,177.0,49.0,47.0
合肥,安徽,中部,16438,1000,1.0,0,0.0104027254,0.0104027254,8.6566636531,8.6566636531,0.1021371225,0.1021371225,3.9759017057,3.9759017057,22.0,16.0,85.0,39.0,29.0,24.0,18.0,18.0
